humid,temp,press,gas,tvoc,altitude,eCO2,H2,quality
60.15,27.69,1010.58,58.354,22.24,22.24,22.24,22.24,good
60.2,27.7,1010.58,58.036,22.27,22.27,22.27,22.27,good
60.22,27.72,1010.58,58.314,22.27,22.27,22.27,22.27,good
60.39,27.74,1010.57,57.605,22.35,22.35,22.35,22.35,good
60.46,27.76,1010.56,57.528,22.39,22.39,22.39,22.39,good
60.54,27.78,1010.57,57.489,22.35,22.35,22.35,22.35,good
60.51,27.8,1010.57,57.373,22.31,22.31,22.31,22.31,good
60.55,27.82,1010.57,57.411,22.34,22.34,22.34,22.34,good
60.53,27.85,1010.57,57.028,22.34,22.34,22.34,22.34,good
60.34,27.87,1010.57,57.142,22.37,22.37,22.37,22.37,good
60.24,27.9,1010.57,56.687,22.35,22.35,22.35,22.35,good
59.91,27.92,1010.56,56.725,22.43,22.43,22.43,22.43,good
59.96,27.95,1010.56,57.066,22.41,22.41,22.41,22.41,good
59.99,27.97,1010.56,56.612,22.45,22.45,22.45,22.45,good
59.58,28,1010.55,56.914,22.47,22.47,22.47,22.47,good
59.24,28.03,1010.55,56.762,22.48,22.48,22.48,22.48,good
59.06,28.05,1010.55,56.952,22.53,22.53,22.53,22.53,good
58.88,28.07,1010.55,56.952,22.54,22.54,22.54,22.54,good
58.76,28.09,1010.54,57.028,22.59,22.59,22.59,22.59,good
58.77,28.11,1010.53,57.066,22.66,22.66,22.66,22.66,good
58.69,28.13,1010.53,56.914,22.7,22.7,22.7,22.7,good
58.62,28.15,1010.53,56.99,22.7,22.7,22.7,22.7,good
58.55,28.16,1010.52,56.649,22.75,22.75,22.75,22.75,good
58.5,28.18,1010.52,56.649,22.77,22.77,22.77,22.77,good
58.48,28.19,1010.51,56.8,22.8,22.8,22.8,22.8,good
58.44,28.21,1010.51,56.762,22.85,22.85,22.85,22.85,good
58.43,28.22,1010.5,56.762,22.91,22.91,22.91,22.91,good
58.32,28.23,1010.5,56.725,22.94,22.94,22.94,22.94,good
58.27,28.24,1010.5,56.8,22.91,22.91,22.91,22.91,good
